Country,League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Romania,SuperCupa,2020/2021,2021-04-15T16:00:00+00:00,FCSB,CFR 1907 Cluj,0,0,Draw
Romania,SuperCupa,2021/2022,2021-07-10T17:00:00+00:00,CFR 1907 Cluj,CS Universitatea Craiova,0,0,Draw
Romania,SuperCupa,2022/2023,2022-07-09T17:30:00+00:00,CFR 1907 Cluj,Sepsi OSK Sfantu Gheorghe,1,2,AwayWin
Romania,Liga I,2020/2021,2020-08-21T15:15:00+00:00,Arges Pitesti,FC Botosani,2,3,AwayWin
Romania,Liga I,2020/2021,2020-08-22T12:30:00+00:00,Viitorul Constanta,Uta Arad,1,1,Draw
Romania,Liga I,2020/2021,2020-08-22T15:00:00+00:00,Sepsi OSK Sfantu Gheorghe,CS Universitatea Craiova,0,1,AwayWin
Romania,Liga I,2020/2021,2020-08-22T18:00:00+00:00,FC Astra Giurgiu,FCSB,0,3,AwayWin
Romania,Liga I,2020/2021,2020-08-23T13:00:00+00:00,Politehnica Iasi,Chindia Targoviste,1,0,HomeWin
Romania,Liga I,2020/2021,2020-08-23T15:00:00+00:00,FC Clinceni,CFR 1907 Cluj,1,2,AwayWin
Romania,Liga I,2020/2021,2020-08-24T15:00:00+00:00,FC Voluntari,GAZ Metan Medias,2,1,HomeWin
Romania,Liga I,2020/2021,2020-08-24T18:00:00+00:00,Dinamo Bucuresti,AFC Hermannstadt,1,1,Draw
Romania,Liga I,2020/2021,2020-08-28T15:00:00+00:00,GAZ Metan Medias,Arges Pitesti,2,0,HomeWin
Romania,Liga I,2020/2021,2020-08-28T18:00:00+00:00,Uta Arad,FC Voluntari,0,0,Draw
Romania,Liga I,2020/2021,2020-08-29T15:00:00+00:00,AFC Hermannstadt,FC Clinceni,2,2,Draw
Romania,Liga I,2020/2021,2020-08-29T18:00:00+00:00,CFR 1907 Cluj,Sepsi OSK Sfantu Gheorghe,0,0,Draw
Romania,Liga I,2020/2021,2020-08-30T12:30:00+00:00,FC Botosani,Politehnica Iasi,4,0,HomeWin
Romania,Liga I,2020/2021,2020-08-30T15:00:00+00:00,CS Universitatea Craiova,FC Astra Giurgiu,2,0,HomeWin
Romania,Liga I,2020/2021,2020-08-30T18:00:00+00:00,FCSB,Viitorul Constanta,3,0,HomeWin
Romania,Liga I,2020/2021,2020-08-31T18:00:00+00:00,Chindia Targoviste,Dinamo Bucuresti,1,0,HomeWin
Romania,Liga I,2020/2021,2020-09-11T15:00:00+00:00,Arges Pitesti,Uta Arad,1,1,Draw
Romania,Liga I,2020/2021,2020-09-11T18:00:00+00:00,Dinamo Bucuresti,FC Botosani,1,1,Draw
Romania,Liga I,2020/2021,2020-09-12T12:30:00+00:00,FC Clinceni,Chindia Targoviste,0,0,Draw
Romania,Liga I,2020/2021,2020-09-12T15:00:00+00:00,Politehnica Iasi,GAZ Metan Medias,1,4,AwayWin
Romania,Liga I,2020/2021,2020-09-12T18:00:00+00:00,FC Voluntari,FCSB,2,1,HomeWin
Romania,Liga I,2020/2021,2020-09-13T16:00:00+00:00,FC Astra Giurgiu,Sepsi OSK Sfantu Gheorghe,2,2,Draw
Romania,Liga I,2020/2021,2020-09-13T18:30:00+00:00,CFR 1907 Cluj,AFC Hermannstadt,1,0,HomeWin
Romania,Liga I,2020/2021,2020-09-14T18:00:00+00:00,Viitorul Constanta,CS Universitatea Craiova,1,4,AwayWin
Romania,Liga I,2020/2021,2020-09-18T15:00:00+00:00,Chindia Targoviste,AFC Hermannstadt,1,3,AwayWin
Romania,Liga I,2020/2021,2020-09-18T18:00:00+00:00,FC Astra Giurgiu,CFR 1907 Cluj,0,2,AwayWin
Romania,Liga I,2020/2021,2020-09-19T16:00:00+00:00,Sepsi OSK Sfantu Gheorghe,Viitorul Constanta,1,1,Draw
Romania,Liga I,2020/2021,2020-09-19T18:45:00+00:00,CS Universitatea Craiova,FC Voluntari,2,1,HomeWin
Romania,Liga I,2020/2021,2020-09-20T13:30:00+00:00,FC Botosani,FC Clinceni,0,0,Draw
Romania,Liga I,2020/2021,2020-09-20T15:45:00+00:00,Uta Arad,Politehnica Iasi,2,3,AwayWin
Romania,Liga I,2020/2021,2020-09-20T18:30:00+00:00,FCSB,Arges Pitesti,3,0,HomeWin
Romania,Liga I,2020/2021,2020-09-21T18:00:00+00:00,GAZ Metan Medias,Dinamo Bucuresti,1,3,AwayWin
Romania,Liga I,2020/2021,2020-09-25T15:00:00+00:00,FC Voluntari,Sepsi OSK Sfantu Gheorghe,1,2,AwayWin
Romania,Liga I,2020/2021,2020-09-25T18:00:00+00:00,Arges Pitesti,CS Universitatea Craiova,1,2,AwayWin
Romania,Liga I,2020/2021,2020-09-26T11:45:00+00:00,FC Clinceni,GAZ Metan Medias,2,0,HomeWin
