Country,League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Robotica,RoboLeague Pro,2015/2016,2023-09-02,Mecha Innovators,Cyber Warriors,0,4,AwayWin
Robotica,RoboLeague Pro,2015/2016,2021-05-31,Neo Pioneers,Mecha Innovators,4,2,HomeWin
Robotica,RoboLeague Pro,2015/2016,2020-09-30,Robo Pioneers,Mecha Warriors,0,5,AwayWin
Robotica,RoboLeague Pro,2015/2016,2022-08-17,Mecha Innovators,Neo Innovators,4,0,HomeWin
Robotica,RoboLeague Pro,2015/2016,2021-01-19,Neo Pioneers,Neo Warriors,3,3,Draw
Robotica,RoboLeague Pro,2015/2016,2023-09-26,Cyber Pioneers,Cyber Warriors,0,0,Draw
Robotica,RoboLeague Pro,2015/2016,2023-08-09,Cyber Warriors,Mecha Innovators,4,3,HomeWin
Robotica,RoboLeague Pro,2015/2016,2017-07-17,Mecha Innovators,Neo Titans,1,3,AwayWin
Robotica,RoboLeague Pro,2015/2016,2024-06-30,Mecha Innovators,Cyber Pioneers,4,4,Draw
Robotica,RoboLeague Pro,2015/2016,2020-11-29,Neo Innovators,Neo Pioneers,5,4,HomeWin
Robotica,RoboLeague Pro,2015/2016,2017-05-29,Neo Warriors,Neo Titans,0,4,AwayWin
Robotica,RoboLeague Pro,2015/2016,2024-05-08,Neo Innovators,Neo Pioneers,2,5,AwayWin
Robotica,RoboLeague Pro,2015/2016,2025-01-04,Neo Titans,Neo Pioneers,2,0,HomeWin
Robotica,RoboLeague Pro,2015/2016,2015-11-22,Cyber Warriors,Neo Innovators,0,4,AwayWin
Robotica,RoboLeague Pro,2015/2016,2022-04-29,Neo Pioneers,Neo Innovators,1,1,Draw
Robotica,RoboLeague Pro,2015/2016,2024-03-20,Neo Titans,Cyber Warriors,0,0,Draw
Robotica,RoboLeague Pro,2015/2016,2019-10-11,Neo Pioneers,Robo Pioneers,4,0,HomeWin
Robotica,RoboLeague Pro,2015/2016,2020-05-27,Neo Titans,Cyber Warriors,3,5,AwayWin
Robotica,RoboLeague Pro,2015/2016,2020-03-27,Neo Warriors,Neo Innovators,1,0,HomeWin
Robotica,RoboLeague Pro,2015/2016,2017-11-20,Neo Pioneers,Cyber Warriors,3,1,HomeWin
Robotica,RoboLeague Pro,2016/2017,2019-10-16,Neo Warriors,Neo Titans,1,5,AwayWin
Robotica,RoboLeague Pro,2016/2017,2022-07-02,Neo Blasters,Mecha Titans,0,1,AwayWin
Robotica,RoboLeague Pro,2016/2017,2015-05-30,Neo Blasters,Mecha Innovators,2,4,AwayWin
Robotica,RoboLeague Pro,2016/2017,2019-10-06,Neo Warriors,Neo Titans,3,1,HomeWin
Robotica,RoboLeague Pro,2016/2017,2017-11-11,Tech Innovators,Mecha Titans,0,1,AwayWin
Robotica,RoboLeague Pro,2016/2017,2023-04-12,Mecha Innovators,Neo Warriors,1,1,Draw
Robotica,RoboLeague Pro,2016/2017,2017-01-21,Neo Titans,Mecha Innovators,3,3,Draw
Robotica,RoboLeague Pro,2016/2017,2017-01-01,Robo Innovators,Neo Titans,0,2,AwayWin
Robotica,RoboLeague Pro,2016/2017,2015-02-20,Mecha Innovators,Neo Warriors,4,1,HomeWin
Robotica,RoboLeague Pro,2016/2017,2023-10-06,Mecha Innovators,Robo Innovators,5,1,HomeWin
Robotica,RoboLeague Pro,2016/2017,2023-02-22,Neo Titans,Mecha Titans,2,5,AwayWin
Robotica,RoboLeague Pro,2016/2017,2018-01-17,Mecha Titans,Neo Titans,0,0,Draw
Robotica,RoboLeague Pro,2016/2017,2023-02-06,Mecha Innovators,Neo Blasters,5,4,HomeWin
Robotica,RoboLeague Pro,2016/2017,2024-07-29,Mecha Innovators,Neo Warriors,0,4,AwayWin
Robotica,RoboLeague Pro,2016/2017,2020-08-21,Neo Titans,Mecha Titans,5,0,HomeWin
Robotica,RoboLeague Pro,2016/2017,2015-11-09,Neo Titans,Robo Innovators,0,2,AwayWin
Robotica,RoboLeague Pro,2016/2017,2020-04-09,Tech Innovators,Neo Titans,1,4,AwayWin
Robotica,RoboLeague Pro,2016/2017,2024-07-22,Neo Titans,Neo Blasters,2,3,AwayWin
Robotica,RoboLeague Pro,2016/2017,2017-04-07,Neo Titans,Mecha Titans,3,0,HomeWin
Robotica,RoboLeague Pro,2016/2017,2016-05-23,Neo Titans,Neo Blasters,4,5,AwayWin
Robotica,RoboLeague Pro,2017/2018,2015-11-29,Tech Pioneers,Tech Warriors,4,1,HomeWin
Robotica,RoboLeague Pro,2017/2018,2017-09-06,Tech Pioneers,Mecha Titans,5,3,HomeWin
