Country,League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Romania,SuperCupa,2022/2023,2022-07-09T17:30:00+00:00,CFR 1907 Cluj,Sepsi OSK Sfantu Gheorghe,1,2,AwayWin
Romania,SuperCupa,2021/2022,2021-07-10T17:00:00+00:00,CFR 1907 Cluj,CS Universitatea Craiova,0,0,Draw
Romania,SuperCupa,2023/2024,2023-07-08T17:00:00+00:00,Farul Constanta,Sepsi OSK Sfantu Gheorghe,0,1,AwayWin
Romania,Liga I,2022/2023,2022-07-15T15:30:00+00:00,AFC Hermannstadt,CS Mioveni,3,0,HomeWin
Romania,Liga I,2022/2023,2022-07-15T18:30:00+00:00,Universitatea Craiova,Sepsi OSK Sfantu Gheorghe,2,2,Draw
Romania,Liga I,2022/2023,2022-07-16T15:30:00+00:00,Arges Pitesti,Uta Arad,2,0,HomeWin
Romania,Liga I,2022/2023,2022-07-16T18:30:00+00:00,CFR 1907 Cluj,Rapid,1,0,HomeWin
Romania,Liga I,2022/2023,2022-07-17T15:30:00+00:00,Farul Constanta,U Craiova 1948,2,1,HomeWin
Romania,Liga I,2022/2023,2022-07-17T18:30:00+00:00,FCSB,Universitatea Cluj,1,1,Draw
Romania,Liga I,2022/2023,2022-07-18T15:30:00+00:00,FC Botosani,Chindia Targoviste,3,2,HomeWin
Romania,Liga I,2022/2023,2022-07-18T18:30:00+00:00,Petrolul Ploiesti,FC Voluntari,0,1,AwayWin
Romania,Liga I,2022/2023,2022-07-22T17:30:00+00:00,CS Mioveni,Farul Constanta,0,2,AwayWin
Romania,Liga I,2022/2023,2022-07-23T17:30:00+00:00,FC Voluntari,FC Botosani,0,1,AwayWin
Romania,Liga I,2022/2023,2022-07-24T09:00:00+00:00,Sepsi OSK Sfantu Gheorghe,Arges Pitesti,4,0,HomeWin
Romania,Liga I,2022/2023,2022-07-24T13:00:00+00:00,U Craiova 1948,CFR 1907 Cluj,3,1,HomeWin
Romania,Liga I,2022/2023,2022-07-24T15:30:00+00:00,Universitatea Cluj,Universitatea Craiova,1,1,Draw
Romania,Liga I,2022/2023,2022-07-24T18:30:00+00:00,Rapid,FCSB,2,0,HomeWin
Romania,Liga I,2022/2023,2022-07-25T15:30:00+00:00,Chindia Targoviste,AFC Hermannstadt,1,1,Draw
Romania,Liga I,2022/2023,2022-07-25T18:30:00+00:00,Uta Arad,Petrolul Ploiesti,2,0,HomeWin
Romania,Liga I,2022/2023,2022-07-29T15:30:00+00:00,Arges Pitesti,Universitatea Cluj,3,1,HomeWin
Romania,Liga I,2022/2023,2022-07-29T18:30:00+00:00,Farul Constanta,Chindia Targoviste,0,0,Draw
Romania,Liga I,2022/2023,2022-07-30T15:30:00+00:00,FC Voluntari,Uta Arad,3,0,HomeWin
Romania,Liga I,2022/2023,2022-07-30T18:30:00+00:00,CFR 1907 Cluj,CS Mioveni,4,2,HomeWin
Romania,Liga I,2022/2023,2022-07-31T15:00:00+00:00,Petrolul Ploiesti,Sepsi OSK Sfantu Gheorghe,1,1,Draw
Romania,Liga I,2022/2023,2022-07-31T17:15:00+00:00,Universitatea Craiova,Rapid,0,1,AwayWin
Romania,Liga I,2022/2023,2022-07-31T19:30:00+00:00,FCSB,U Craiova 1948,1,1,Draw
Romania,Liga I,2022/2023,2022-08-01T17:30:00+00:00,AFC Hermannstadt,FC Botosani,1,1,Draw
Romania,Liga I,2022/2023,2022-08-05T16:00:00+00:00,Universitatea Cluj,Petrolul Ploiesti,0,1,AwayWin
Romania,Liga I,2022/2023,2022-08-06T16:00:00+00:00,CS Mioveni,FCSB,1,1,Draw
Romania,Liga I,2022/2023,2022-08-06T18:45:00+00:00,Rapid,Arges Pitesti,2,1,HomeWin
Romania,Liga I,2022/2023,2022-08-07T13:00:00+00:00,Sepsi OSK Sfantu Gheorghe,Uta Arad,0,0,Draw
Romania,Liga I,2022/2023,2022-08-07T15:30:00+00:00,Chindia Targoviste,CFR 1907 Cluj,0,2,AwayWin
Romania,Liga I,2022/2023,2022-08-07T18:30:00+00:00,U Craiova 1948,Universitatea Craiova,1,2,AwayWin
Romania,Liga I,2022/2023,2022-08-08T15:00:00+00:00,AFC Hermannstadt,FC Voluntari,2,1,HomeWin
Romania,Liga I,2022/2023,2022-08-08T18:00:00+00:00,FC Botosani,Farul Constanta,1,1,Draw
Romania,Liga I,2022/2023,2022-08-12T18:30:00+00:00,Arges Pitesti,U Craiova 1948,0,2,AwayWin
Romania,Liga I,2022/2023,2022-08-13T16:00:00+00:00,Uta Arad,Universitatea Cluj,2,1,HomeWin
Romania,Liga I,2022/2023,2022-08-13T18:45:00+00:00,Petrolul Ploiesti,Rapid,1,0,HomeWin
Romania,Liga I,2022/2023,2022-08-14T13:00:00+00:00,Universitatea Craiova,CS Mioveni,1,0,HomeWin
Romania,Liga I,2022/2023,2022-08-14T15:30:00+00:00,CFR 1907 Cluj,FC Botosani,0,1,AwayWin
Romania,Liga I,2022/2023,2022-08-14T18:30:00+00:00,FCSB,Chindia Targoviste,3,2,HomeWin
Romania,Liga I,2022/2023,2022-08-15T14:00:00+00:00,FC Voluntari,Sepsi OSK Sfantu Gheorghe,0,0,Draw
Romania,Liga I,2022/2023,2022-08-15T16:30:00+00:00,Farul Constanta,AFC Hermannstadt,0,0,Draw
Romania,Liga I,2022/2023,2022-08-19T15:00:00+00:00,CS Mioveni,Arges Pitesti,0,1,AwayWin
Romania,Liga I,2022/2023,2022-08-19T18:00:00+00:00,U Craiova 1948,Petrolul Ploiesti,0,1,AwayWin
Romania,Liga I,2022/2023,2022-08-20T18:30:00+00:00,Rapid,Uta Arad,1,0,HomeWin
Romania,Liga I,2022/2023,2022-08-22T14:00:00+00:00,Universitatea Cluj,Sepsi OSK Sfantu Gheorghe,0,1,AwayWin
Romania,Liga I,2022/2023,2022-08-22T16:30:00+00:00,Farul Constanta,FC Voluntari,2,1,HomeWin
Romania,Liga I,2022/2023,2022-08-26T15:45:00+00:00,FC Voluntari,Universitatea Cluj,0,0,Draw
Romania,Liga I,2022/2023,2022-08-26T18:30:00+00:00,Uta Arad,U Craiova 1948,2,1,HomeWin
Romania,Liga I,2022/2023,2022-08-27T16:00:00+00:00,Petrolul Ploiesti,CS Mioveni,0,0,Draw
Romania,Liga I,2022/2023,2022-08-27T18:45:00+00:00,Sepsi OSK Sfantu Gheorghe,Rapid,1,2,AwayWin
Romania,Liga I,2022/2023,2022-08-28T10:30:00+00:00,Arges Pitesti,Chindia Targoviste,2,1,HomeWin
Romania,Liga I,2022/2023,2022-08-28T15:30:00+00:00,CFR 1907 Cluj,Farul Constanta,1,3,AwayWin
Romania,Liga I,2022/2023,2022-08-28T18:30:00+00:00,FCSB,AFC Hermannstadt,2,2,Draw
Romania,Liga I,2022/2023,2022-08-29T18:00:00+00:00,Universitatea Craiova,FC Botosani,1,0,HomeWin
Romania,Liga I,2022/2023,2022-08-30T13:30:00+00:00,CS Mioveni,Uta Arad,1,1,Draw
Romania,Liga I,2022/2023,2022-08-30T16:15:00+00:00,U Craiova 1948,Sepsi OSK Sfantu Gheorghe,1,0,HomeWin
Romania,Liga I,2022/2023,2022-08-30T19:00:00+00:00,Rapid,Universitatea Cluj,1,0,HomeWin
Romania,Liga I,2022/2023,2022-08-31T13:30:00+00:00,Chindia Targoviste,Petrolul Ploiesti,2,3,AwayWin
Romania,Liga I,2022/2023,2022-08-31T16:15:00+00:00,CFR 1907 Cluj,FC Voluntari,4,0,HomeWin
Romania,Liga I,2022/2023,2022-08-31T19:00:00+00:00,Farul Constanta,FCSB,3,1,HomeWin
Romania,Liga I,2022/2023,2022-09-01T15:00:00+00:00,FC Botosani,Arges Pitesti,0,0,Draw
Romania,Liga I,2022/2023,2022-09-01T18:00:00+00:00,AFC Hermannstadt,Universitatea Craiova,1,0,HomeWin
Romania,Liga I,2022/2023,2022-09-02T15:45:00+00:00,Sepsi OSK Sfantu Gheorghe,CS Mioveni,0,1,AwayWin
Romania,Liga I,2022/2023,2022-09-02T18:30:00+00:00,Universitatea Cluj,U Craiova 1948,1,1,Draw
Romania,Liga I,2022/2023,2022-09-03T16:00:00+00:00,Uta Arad,Chindia Targoviste,1,1,Draw
Romania,Liga I,2022/2023,2022-09-03T18:45:00+00:00,FC Voluntari,Rapid,0,1,AwayWin
Romania,Liga I,2022/2023,2022-09-04T18:30:00+00:00,Petrolul Ploiesti,FC Botosani,2,1,HomeWin
Romania,Liga I,2022/2023,2022-09-05T15:45:00+00:00,Arges Pitesti,AFC Hermannstadt,0,1,AwayWin
Romania,Liga I,2022/2023,2022-09-05T18:30:00+00:00,Universitatea Craiova,Farul Constanta,4,3,HomeWin
Romania,Liga I,2022/2023,2022-09-09T15:45:00+00:00,FC Botosani,Uta Arad,1,2,AwayWin
Romania,Liga I,2022/2023,2022-09-10T10:00:00+00:00,Chindia Targoviste,Sepsi OSK Sfantu Gheorghe,1,2,AwayWin
Romania,Liga I,2022/2023,2022-09-10T12:00:00+00:00,AFC Hermannstadt,Petrolul Ploiesti,2,1,HomeWin
Romania,Liga I,2022/2023,2022-09-10T18:30:00+00:00,U Craiova 1948,Rapid,1,0,HomeWin
Romania,Liga I,2022/2023,2022-09-11T15:30:00+00:00,Farul Constanta,Arges Pitesti,3,0,HomeWin
Romania,Liga I,2022/2023,2022-09-11T18:30:00+00:00,CFR 1907 Cluj,Universitatea Craiova,2,0,HomeWin
Romania,Liga I,2022/2023,2022-09-12T15:00:00+00:00,CS Mioveni,Universitatea Cluj,0,1,AwayWin
Romania,Liga I,2022/2023,2022-09-12T18:00:00+00:00,FCSB,FC Voluntari,1,1,Draw
Romania,Liga I,2022/2023,2022-09-16T15:00:00+00:00,FC Voluntari,U Craiova 1948,1,0,HomeWin
Romania,Liga I,2022/2023,2022-09-16T18:00:00+00:00,Petrolul Ploiesti,Farul Constanta,1,3,AwayWin
Romania,Liga I,2022/2023,2022-09-17T13:45:00+00:00,Uta Arad,AFC Hermannstadt,1,2,AwayWin
Romania,Liga I,2022/2023,2022-09-17T16:00:00+00:00,Sepsi OSK Sfantu Gheorghe,FC Botosani,7,0,HomeWin
Romania,Liga I,2022/2023,2022-09-17T18:30:00+00:00,Rapid,CS Mioveni,2,1,HomeWin
Romania,Liga I,2022/2023,2022-09-18T15:30:00+00:00,Universitatea Cluj,Chindia Targoviste,1,0,HomeWin
Romania,Liga I,2022/2023,2022-09-18T18:30:00+00:00,Universitatea Craiova,FCSB,2,1,HomeWin
Romania,Liga I,2022/2023,2022-09-19T17:30:00+00:00,Arges Pitesti,CFR 1907 Cluj,0,1,AwayWin
Romania,Liga I,2022/2023,2022-09-30T18:00:00+00:00,Universitatea Craiova,FC Voluntari,1,1,Draw
Romania,Liga I,2022/2023,2022-10-01T16:00:00+00:00,CS Mioveni,U Craiova 1948,2,2,Draw
Romania,Liga I,2022/2023,2022-10-01T18:30:00+00:00,CFR 1907 Cluj,Petrolul Ploiesti,1,0,HomeWin
Romania,Liga I,2022/2023,2022-10-02T10:00:00+00:00,AFC Hermannstadt,Sepsi OSK Sfantu Gheorghe,1,2,AwayWin
Romania,Liga I,2022/2023,2022-10-02T15:30:00+00:00,Farul Constanta,Uta Arad,2,0,HomeWin
Romania,Liga I,2022/2023,2022-10-02T18:30:00+00:00,FCSB,Arges Pitesti,3,2,HomeWin
Romania,Liga I,2022/2023,2022-10-03T15:00:00+00:00,FC Botosani,Universitatea Cluj,1,1,Draw
Romania,Liga I,2022/2023,2022-10-03T18:00:00+00:00,Chindia Targoviste,Rapid,2,1,HomeWin
Romania,Liga I,2022/2023,2022-10-07T15:00:00+00:00,FC Voluntari,CS Mioveni,3,1,HomeWin
Romania,Liga I,2022/2023,2022-10-07T18:00:00+00:00,Arges Pitesti,Universitatea Craiova,1,0,HomeWin
Romania,Liga I,2022/2023,2022-10-08T12:00:00+00:00,Universitatea Cluj,AFC Hermannstadt,1,0,HomeWin
Romania,Liga I,2022/2023,2022-10-08T18:30:00+00:00,Rapid,FC Botosani,1,1,Draw
Romania,Liga I,2022/2023,2022-10-09T12:30:00+00:00,Sepsi OSK Sfantu Gheorghe,Farul Constanta,0,1,AwayWin
Romania,Liga I,2022/2023,2022-10-09T18:30:00+00:00,Petrolul Ploiesti,FCSB,0,2,AwayWin
Romania,Liga I,2022/2023,2022-10-10T14:30:00+00:00,U Craiova 1948,Chindia Targoviste,0,1,AwayWin
Romania,Liga I,2022/2023,2022-10-10T17:30:00+00:00,Uta Arad,CFR 1907 Cluj,1,1,Draw
Romania,Liga I,2022/2023,2022-10-14T15:15:00+00:00,Arges Pitesti,FC Voluntari,0,0,Draw
Romania,Liga I,2022/2023,2022-10-14T18:00:00+00:00,AFC Hermannstadt,Rapid,0,2,AwayWin
Romania,Liga I,2022/2023,2022-10-15T12:30:00+00:00,FC Botosani,U Craiova 1948,1,0,HomeWin
Romania,Liga I,2022/2023,2022-10-15T15:00:00+00:00,Farul Constanta,Universitatea Cluj,2,0,HomeWin
Romania,Liga I,2022/2023,2022-10-15T18:00:00+00:00,Universitatea Craiova,Petrolul Ploiesti,2,1,HomeWin
Romania,Liga I,2022/2023,2022-10-16T11:00:00+00:00,Chindia Targoviste,CS Mioveni,1,0,HomeWin
Romania,Liga I,2022/2023,2022-10-16T17:30:00+00:00,FCSB,Uta Arad,2,1,HomeWin
Romania,Liga I,2022/2023,2022-10-17T18:00:00+00:00,CFR 1907 Cluj,Sepsi OSK Sfantu Gheorghe,2,1,HomeWin
Romania,Liga I,2022/2023,2022-10-21T17:30:00+00:00,Rapid,Farul Constanta,1,1,Draw
Romania,Liga I,2022/2023,2022-10-22T14:00:00+00:00,FC Voluntari,Chindia Targoviste,0,3,AwayWin
Romania,Liga I,2022/2023,2022-10-22T18:45:00+00:00,U Craiova 1948,AFC Hermannstadt,1,1,Draw
Romania,Liga I,2022/2023,2022-10-23T10:30:00+00:00,CS Mioveni,FC Botosani,0,0,Draw
Romania,Liga I,2022/2023,2022-10-23T15:15:00+00:00,Uta Arad,Universitatea Craiova,1,2,AwayWin
Romania,Liga I,2022/2023,2022-10-23T18:00:00+00:00,Universitatea Cluj,CFR 1907 Cluj,1,2,AwayWin
Romania,Liga I,2022/2023,2022-10-24T15:15:00+00:00,Petrolul Ploiesti,Arges Pitesti,2,0,HomeWin
Romania,Liga I,2022/2023,2022-10-24T18:00:00+00:00,Sepsi OSK Sfantu Gheorghe,FCSB,0,1,AwayWin
Romania,Liga I,2022/2023,2022-10-28T15:00:00+00:00,Chindia Targoviste,FC Botosani,2,2,Draw
Romania,Liga I,2022/2023,2022-10-28T18:00:00+00:00,U Craiova 1948,Farul Constanta,1,2,AwayWin
Romania,Liga I,2022/2023,2022-10-29T16:00:00+00:00,FC Voluntari,Petrolul Ploiesti,0,1,AwayWin
Romania,Liga I,2022/2023,2022-10-29T18:30:00+00:00,Sepsi OSK Sfantu Gheorghe,Universitatea Craiova,0,1,AwayWin
Romania,Liga I,2022/2023,2022-10-30T16:15:00+00:00,Uta Arad,Arges Pitesti,0,1,AwayWin
Romania,Liga I,2022/2023,2022-10-30T19:00:00+00:00,Rapid,CFR 1907 Cluj,2,1,HomeWin
Romania,Liga I,2022/2023,2022-10-31T16:00:00+00:00,CS Mioveni,AFC Hermannstadt,0,2,AwayWin
Romania,Liga I,2022/2023,2022-10-31T19:00:00+00:00,Universitatea Cluj,FCSB,2,1,HomeWin
Romania,Liga I,2022/2023,2022-11-04T16:00:00+00:00,FC Botosani,FC Voluntari,0,1,AwayWin
Romania,Liga I,2022/2023,2022-11-04T19:00:00+00:00,Farul Constanta,CS Mioveni,2,1,HomeWin
Romania,Liga I,2022/2023,2022-11-05T13:00:00+00:00,Arges Pitesti,Sepsi OSK Sfantu Gheorghe,0,5,AwayWin
Romania,Liga I,2022/2023,2022-11-05T16:00:00+00:00,Petrolul Ploiesti,Uta Arad,2,1,HomeWin
Romania,Liga I,2022/2023,2022-11-05T19:00:00+00:00,Universitatea Craiova,Universitatea Cluj,1,0,HomeWin
Romania,Liga I,2022/2023,2022-11-06T14:15:00+00:00,AFC Hermannstadt,Chindia Targoviste,0,1,AwayWin
Romania,Liga I,2022/2023,2022-11-06T19:00:00+00:00,FCSB,Rapid,3,1,HomeWin
Romania,Liga I,2022/2023,2022-11-07T19:00:00+00:00,CFR 1907 Cluj,U Craiova 1948,3,1,HomeWin
Romania,Liga I,2022/2023,2022-11-11T19:00:00+00:00,Sepsi OSK Sfantu Gheorghe,Petrolul Ploiesti,2,0,HomeWin
Romania,Liga I,2022/2023,2022-11-12T15:30:00+00:00,Chindia Targoviste,Farul Constanta,1,1,Draw
Romania,Liga I,2022/2023,2022-11-12T18:30:00+00:00,Rapid,Universitatea Craiova,2,2,Draw
Romania,Liga I,2022/2023,2022-11-13T13:45:00+00:00,Uta Arad,FC Voluntari,1,1,Draw
Romania,Liga I,2022/2023,2022-11-13T16:00:00+00:00,CS Mioveni,CFR 1907 Cluj,0,1,AwayWin
Romania,Liga I,2022/2023,2022-11-13T19:00:00+00:00,U Craiova 1948,FCSB,0,2,AwayWin
Romania,Liga I,2022/2023,2022-11-14T16:00:00+00:00,Universitatea Cluj,Arges Pitesti,1,1,Draw
Romania,Liga I,2022/2023,2022-11-14T19:00:00+00:00,FC Botosani,AFC Hermannstadt,0,0,Draw
Romania,Liga I,2022/2023,2022-11-29T17:00:00+00:00,Chindia Targoviste,Universitatea Craiova,1,1,Draw
Romania,Liga I,2022/2023,2022-11-30T17:00:00+00:00,AFC Hermannstadt,CFR 1907 Cluj,2,3,AwayWin
Romania,Liga I,2022/2023,2022-12-01T17:00:00+00:00,FC Botosani,FCSB,2,3,AwayWin
Romania,Liga I,2022/2023,2022-12-02T13:30:00+00:00,Uta Arad,Sepsi OSK Sfantu Gheorghe,1,4,AwayWin
Romania,Liga I,2022/2023,2022-12-02T17:00:00+00:00,Petrolul Ploiesti,Universitatea Cluj,2,0,HomeWin
Romania,Liga I,2022/2023,2022-12-03T13:30:00+00:00,FC Voluntari,AFC Hermannstadt,3,0,HomeWin
Romania,Liga I,2022/2023,2022-12-03T17:00:00+00:00,Universitatea Craiova,U Craiova 1948,0,2,AwayWin
Romania,Liga I,2022/2023,2022-12-04T11:15:00+00:00,Farul Constanta,FC Botosani,8,0,HomeWin
Romania,Liga I,2022/2023,2022-12-04T13:30:00+00:00,CFR 1907 Cluj,Chindia Targoviste,2,0,HomeWin
Romania,Liga I,2022/2023,2022-12-04T17:00:00+00:00,Arges Pitesti,Rapid,1,1,Draw
Romania,Liga I,2022/2023,2022-12-05T17:00:00+00:00,FCSB,CS Mioveni,5,1,HomeWin
Romania,Liga I,2022/2023,2022-12-09T17:00:00+00:00,Sepsi OSK Sfantu Gheorghe,FC Voluntari,1,1,Draw
Romania,Liga I,2022/2023,2022-12-10T17:00:00+00:00,AFC Hermannstadt,Farul Constanta,4,0,HomeWin
Romania,Liga I,2022/2023,2022-12-11T12:30:00+00:00,Universitatea Cluj,Uta Arad,0,0,Draw
Romania,Liga I,2022/2023,2022-12-11T15:30:00+00:00,FC Botosani,CFR 1907 Cluj,1,1,Draw
Romania,Liga I,2022/2023,2022-12-11T18:30:00+00:00,Chindia Targoviste,FCSB,0,2,AwayWin
Romania,Liga I,2022/2023,2022-12-12T15:30:00+00:00,U Craiova 1948,Arges Pitesti,1,0,HomeWin
Romania,Liga I,2022/2023,2022-12-12T18:30:00+00:00,CS Mioveni,Universitatea Craiova,0,1,AwayWin
Romania,Liga I,2022/2023,2022-12-14T17:00:00+00:00,Rapid,Petrolul Ploiesti,3,1,HomeWin
Romania,Liga I,2022/2023,2022-12-15T18:00:00+00:00,FCSB,CFR 1907 Cluj,0,1,AwayWin
Romania,Liga I,2022/2023,2022-12-16T18:00:00+00:00,FC Voluntari,Farul Constanta,1,1,Draw
Romania,Liga I,2022/2023,2022-12-17T13:00:00+00:00,Sepsi OSK Sfantu Gheorghe,Universitatea Cluj,2,1,HomeWin
Romania,Liga I,2022/2023,2022-12-17T18:30:00+00:00,Universitatea Craiova,Chindia Targoviste,3,0,HomeWin
Romania,Liga I,2022/2023,2022-12-18T10:00:00+00:00,Arges Pitesti,CS Mioveni,2,2,Draw
Romania,Liga I,2022/2023,2022-12-18T12:30:00+00:00,Petrolul Ploiesti,U Craiova 1948,1,1,Draw
Romania,Liga I,2022/2023,2022-12-18T18:30:00+00:00,Uta Arad,Rapid,1,1,Draw
Romania,Liga I,2022/2023,2022-12-19T18:00:00+00:00,FCSB,FC Botosani,1,0,HomeWin
Romania,Liga I,2022/2023,2022-12-20T18:00:00+00:00,CFR 1907 Cluj,AFC Hermannstadt,0,1,AwayWin
Romania,Liga I,2022/2023,2023-01-20T14:30:00+00:00,Universitatea Cluj,FC Voluntari,2,1,HomeWin
Romania,Liga I,2022/2023,2023-01-20T18:00:00+00:00,Rapid,Sepsi OSK Sfantu Gheorghe,3,0,HomeWin
Romania,Liga I,2022/2023,2023-01-21T15:00:00+00:00,CS Mioveni,Petrolul Ploiesti,1,0,HomeWin
Romania,Liga I,2022/2023,2023-01-21T18:00:00+00:00,FC Botosani,Universitatea Craiova,1,0,HomeWin
Romania,Liga I,2022/2023,2023-01-22T13:30:00+00:00,U Craiova 1948,Uta Arad,1,1,Draw
Romania,Liga I,2022/2023,2023-01-22T18:45:00+00:00,AFC Hermannstadt,FCSB,0,1,AwayWin
Romania,Liga I,2022/2023,2023-01-23T15:00:00+00:00,Chindia Targoviste,Arges Pitesti,1,1,Draw
Romania,Liga I,2022/2023,2023-01-23T18:00:00+00:00,Farul Constanta,CFR 1907 Cluj,0,3,AwayWin
Romania,Liga I,2022/2023,2023-01-27T18:00:00+00:00,Universitatea Cluj,Rapid,0,0,Draw
Romania,Liga I,2022/2023,2023-01-28T12:30:00+00:00,Uta Arad,CS Mioveni,1,2,AwayWin
Romania,Liga I,2022/2023,2023-01-28T15:00:00+00:00,Petrolul Ploiesti,Chindia Targoviste,1,2,AwayWin
Romania,Liga I,2022/2023,2023-01-28T18:00:00+00:00,Universitatea Craiova,AFC Hermannstadt,2,0,HomeWin
Romania,Liga I,2022/2023,2023-01-29T11:30:00+00:00,Arges Pitesti,FC Botosani,0,2,AwayWin
Romania,Liga I,2022/2023,2023-01-29T17:00:00+00:00,FCSB,Farul Constanta,2,3,AwayWin
Romania,Liga I,2022/2023,2023-01-30T18:00:00+00:00,FC Voluntari,CFR 1907 Cluj,0,1,AwayWin
Romania,Liga I,2022/2023,2023-02-03T15:00:00+00:00,Chindia Targoviste,Uta Arad,2,1,HomeWin
Romania,Liga I,2022/2023,2023-02-03T18:00:00+00:00,U Craiova 1948,Universitatea Cluj,5,0,HomeWin
Romania,Liga I,2022/2023,2023-02-04T12:30:00+00:00,AFC Hermannstadt,Arges Pitesti,1,1,Draw
Romania,Liga I,2022/2023,2023-02-04T18:00:00+00:00,Rapid,FC Voluntari,4,1,HomeWin
Romania,Liga I,2022/2023,2023-02-05T13:30:00+00:00,CS Mioveni,Sepsi OSK Sfantu Gheorghe,1,1,Draw
Romania,Liga I,2022/2023,2023-02-05T19:00:00+00:00,CFR 1907 Cluj,FCSB,0,1,AwayWin
Romania,Liga I,2022/2023,2023-02-06T15:00:00+00:00,FC Botosani,Petrolul Ploiesti,5,0,HomeWin
